"","slope_erp_dif$mus_code","slope_erp_dif$ElectrodeSite","Task","slope_erp_dif$auc_p2"
"1","mus","cz","simon",141.030780233966
"2","nm","cz","simon",68.9935749862503
"3","mus","fz","simon",120.867197231561
"4","nm","fz","simon",104.538237364099
"5","mus","pz","simon",130.417416744569
"6","nm","pz","simon",91.0075980803097
"7","mus","cz","stroop",86.4125059203559
"8","nm","cz","stroop",70.9136930870597
"9","mus","fz","stroop",113.576102686167
"10","nm","fz","stroop",81.9036851344144
"11","mus","pz","stroop",78.2221858226606
"12","nm","pz","stroop",74.7045148372527
